# Lagarith range-coder reciprocal-multiply LUT (extraction artefact)
#
# Source binary (x86-64): reference/binaries/system32/lagarith.dll
#   SHA-256: f90f371146ee0b762e4d0c95b336cad2dcff8802953e8667ed0b16389b1dd89c
#   RVA:        0x0001b9a0
#   File offset: 0x0001ada0
# Source binary (i386):  reference/binaries/syswow64/lagarith.dll
#   SHA-256: bac1ea74a9763008f44d3d0f2951ba9a44853e0d72164521a74dc7dd1df20bcc
#   RVA:        0x0002e870
#   File offset: 0x0002d270
# Cross-arch byte-equivalence: IDENTICAL
#
# Total entries: 2048 (each entry is one little-endian uint32)
# Total bytes:   8192
# Tool: extract-luts.sh (this script) + python3 struct.unpack('<2048I', ...)
#
# Columns: index, value_hex, value_dec
# value is the 32-bit little-endian word at file offset (T0_OFF + index*4).
index,value_hex,value_dec
667,0x0062413f,6439231
668,0x00621b97,6429591
669,0x0061f60d,6419981
670,0x0061d09e,6410398
671,0x0061ab4d,6400845
672,0x00618618,6391320
673,0x006160ff,6381823
674,0x00613c03,6372355
675,0x00611722,6362914
676,0x0060f25d,6353501
677,0x0060cdb5,6344117
678,0x0060a928,6334760
679,0x006084b6,6325430
680,0x00606060,6316128
681,0x00603c25,6306853
682,0x00601806,6297606
683,0x005ff401,6288385
684,0x005fd017,6279191
685,0x005fac49,6270025
686,0x005f8895,6260885
687,0x005f64fb,6251771
688,0x005f417d,6242685
689,0x005f1e18,6233624
690,0x005eface,6224590
691,0x005ed79e,6215582
692,0x005eb488,6206600
693,0x005e918c,6197644
694,0x005e6ea9,6188713
695,0x005e4be1,6179809
696,0x005e2932,6170930
697,0x005e069c,6162076
698,0x005de420,6153248
699,0x005dc1bd,6144445
700,0x005d9f73,6135667
701,0x005d7d42,6126914
702,0x005d5b2b,6118187
703,0x005d392c,6109484
704,0x005d1745,6100805
705,0x005cf578,6092152
706,0x005cd3c3,6083523
707,0x005cb226,6074918
708,0x005c90a1,6066337
709,0x005c6f35,6057781
710,0x005c4de1,6049249
711,0x005c2ca5,6040741
712,0x005c0b81,6032257
713,0x005bea75,6023797
714,0x005bc980,6015360
715,0x005ba8a3,6006947
716,0x005b87dd,5998557
717,0x005b672f,5990191
718,0x005b4698,5981848
719,0x005b2618,5973528
720,0x005b05b0,5965232
721,0x005ae55e,5956958
722,0x005ac524,5948708
723,0x005aa500,5940480
724,0x005a84f3,5932275
725,0x005a64fc,5924092
726,0x005a451c,5915932
727,0x005a2553,5907795
728,0x005a05a0,5899680
729,0x0059e603,5891587
730,0x0059c67c,5883516
731,0x0059a70c,5875468
732,0x005987b1,5867441
733,0x0059686c,5859436
734,0x0059493e,5851454
735,0x00592a24,5843492
736,0x00590b21,5835553
737,0x0058ec33,5827635
738,0x0058cd5a,5819738
739,0x0058ae97,5811863
740,0x00588fe9,5804009
741,0x00587151,5796177
742,0x005852cd,5788365
743,0x0058345f,5780575
744,0x00581605,5772805
745,0x0057f7c0,5765056
746,0x0057d990,5757328
747,0x0057bb75,5749621
748,0x00579d6e,5741934
749,0x00577f7c,5734268
750,0x0057619f,5726623
751,0x005743d5,5718997
752,0x00572620,5711392
753,0x0057087f,5703807
754,0x0056eaf3,5696243
755,0x0056cd7a,5688698
756,0x0056b015,5681173
757,0x005692c4,5673668
758,0x00567587,5666183
759,0x0056585e,5658718
760,0x00563b48,5651272
761,0x00561e46,5643846
762,0x00560158,5636440
763,0x0055e47c,5629052
764,0x0055c7b4,5621684
765,0x0055ab00,5614336
766,0x00558e5e,5607006
767,0x005571d0,5599696
768,0x00555555,5592405
769,0x005538ed,5585133
770,0x00551c97,5577879
771,0x00550055,5570645
772,0x0054e425,5563429
773,0x0054c807,5556231
774,0x0054abfd,5549053
775,0x00549005,5541893
776,0x0054741f,5534751
777,0x0054584c,5527628
778,0x00543c8b,5520523
779,0x005420dc,5513436
780,0x00540540,5506368
781,0x0053e9b5,5499317
782,0x0053ce3d,5492285
783,0x0053b2d7,5485271
784,0x00539782,5478274
785,0x00537c3f,5471295
786,0x0053610e,5464334
787,0x005345ef,5457391
788,0x00532ae2,5450466
789,0x00530fe6,5443558
790,0x0052f4fb,5436667
791,0x0052da22,5429794
792,0x0052bf5a,5422938
793,0x0052a4a3,5416099
794,0x005289fe,5409278
795,0x00526f6a,5402474
796,0x005254e7,5395687
797,0x00523a75,5388917
798,0x00522014,5382164
799,0x005205c4,5375428
800,0x0051eb85,5368709
801,0x0051d156,5362006
802,0x0051b738,5355320
803,0x00519d2b,5348651
804,0x0051832f,5341999
805,0x00516943,5335363
806,0x00514f67,5328743
807,0x0051359c,5322140
808,0x00511be1,5315553
809,0x00510237,5308983
810,0x0050e89c,5302428
811,0x0050cf12,5295890
812,0x0050b598,5289368
813,0x00509c2e,5282862
814,0x005082d4,5276372
815,0x0050698a,5269898
816,0x00505050,5263440
817,0x00503725,5256997
818,0x00501e0b,5250571
819,0x00500500,5244160
820,0x004fec04,5237764
821,0x004fd319,5231385
822,0x004fba3d,5225021
823,0x004fa170,5218672
824,0x004f88b2,5212338
825,0x004f7004,5206020
826,0x004f5766,5199718
827,0x004f3ed6,5193430
828,0x004f2656,5187158
829,0x004f0de5,5180901
830,0x004ef583,5174659
831,0x004edd30,5168432
832,0x004ec4ec,5162220
833,0x004eacb7,5156023
834,0x004e9490,5149840
835,0x004e7c79,5143673
836,0x004e6470,5137520
837,0x004e4c76,5131382
838,0x004e348b,5125259
839,0x004e1cae,5119150
840,0x004e04e0,5113056
841,0x004ded20,5106976
842,0x004dd56f,5100911
843,0x004dbdcc,5094860
844,0x004da637,5088823
845,0x004d8eb1,5082801
846,0x004d7739,5076793
847,0x004d5fcf,5070799
848,0x004d4873,5064819
849,0x004d3126,5058854
850,0x004d19e6,5052902
851,0x004d02b5,5046965
852,0x004ceb91,5041041
853,0x004cd47b,5035131
854,0x004cbd73,5029235
855,0x004ca679,5023353
856,0x004c8f8d,5017485
857,0x004c78ae,5011630
858,0x004c61dd,5005789
859,0x004c4b19,4999961
860,0x004c3464,4994148
861,0x004c1dbb,4988347
862,0x004c0720,4982560
863,0x004bf093,4976787
864,0x004bda12,4971026
865,0x004bc3a0,4965280
866,0x004bad3a,4959546
867,0x004b96e2,4953826
868,0x004b8097,4948119
869,0x004b6a58,4942424
870,0x004b5428,4936744
871,0x004b3e04,4931076
